Date : 2026-01-12 22:58:31
Directory : /Users/maksym/Documents/Projects/Roomly/frontend/src
Total : 101 files,  2219 codes, 28 comments, 387 blanks, all 2634 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         55 |      1,306 |         24 |        217 |      1,547 |
| PostCSS    |         23 |        641 |          4 |        142 |        787 |
| HTML       |         23 |        272 |          0 |         28 |        300 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        101 |      2,219 |         28 |        387 |      2,634 |
| . (Files)                                                                                                  |          3 |        157 |          2 |         31 |        190 |
| app                                                                                                        |         98 |      2,062 |         26 |        356 |      2,444 |
| app (Files)                                                                                                |          5 |         81 |          0 |          9 |         90 |
| app/core                                                                                                   |         17 |        530 |          5 |         67 |        602 |
| app/core/environment                                                                                       |          1 |          2 |          0 |          1 |          3 |
| app/core/guards                                                                                            |          2 |         60 |          0 |         12 |         72 |
| app/core/http                                                                                              |          1 |         52 |          2 |          8 |         62 |
| app/core/services                                                                                          |          5 |        139 |          0 |         28 |        167 |
| app/core/types                                                                                             |          5 |        221 |          1 |          8 |        230 |
| app/core/utils                                                                                             |          3 |         56 |          2 |         10 |         68 |
| app/features                                                                                               |         33 |        413 |          9 |         92 |        514 |
| app/features/clients                                                                                       |          4 |         19 |          0 |          8 |         27 |
| app/features/clients (Files)                                                                               |          1 |          9 |          0 |          3 |         12 |
| app/features/clients/pages                                                                                 |          3 |         10 |          0 |          5 |         15 |
| app/features/clients/pages/main-page                                                                       |          3 |         10 |          0 |          5 |         15 |
| app/features/dashboard                                                                                     |          4 |         23 |          0 |          8 |         31 |
| app/features/dashboard (Files)                                                                             |          1 |         13 |          0 |          3 |         16 |
| app/features/dashboard/pages                                                                               |          3 |         10 |          0 |          5 |         15 |
| app/features/dashboard/pages/main-page                                                                     |          3 |         10 |          0 |          5 |         15 |
| app/features/games                                                                                         |          9 |        251 |          0 |         38 |        289 |
| app/features/games (Files)                                                                                 |          1 |          9 |          0 |          3 |         12 |
| app/features/games/components                                                                              |          3 |         86 |          0 |         17 |        103 |
| app/features/games/components/game                                                                         |          3 |         86 |          0 |         17 |        103 |
| app/features/games/model                                                                                   |          1 |         16 |          0 |          1 |         17 |
| app/features/games/pages                                                                                   |          3 |        115 |          0 |         12 |        127 |
| app/features/games/pages/main-page                                                                         |          3 |        115 |          0 |         12 |        127 |
| app/features/games/services                                                                                |          1 |         25 |          0 |          5 |         30 |
| app/features/org-selection                                                                                 |          3 |         63 |          0 |         13 |         76 |
| app/features/sessions                                                                                      |          4 |         19 |          0 |          8 |         27 |
| app/features/sessions (Files)                                                                              |          1 |          9 |          0 |          3 |         12 |
| app/features/sessions/pages                                                                                |          3 |         10 |          0 |          5 |         15 |
| app/features/sessions/pages/main-page                                                                      |          3 |         10 |          0 |          5 |         15 |
| app/features/settings                                                                                      |          4 |         19 |          0 |          8 |         27 |
| app/features/settings (Files)                                                                              |          1 |          9 |          0 |          3 |         12 |
| app/features/settings/pages                                                                                |          3 |         10 |          0 |          5 |         15 |
| app/features/settings/pages/main-page                                                                      |          3 |         10 |          0 |          5 |         15 |
| app/features/template                                                                                      |          1 |          0 |          9 |          1 |         10 |
| app/features/users                                                                                         |          4 |         19 |          0 |          8 |         27 |
| app/features/users (Files)                                                                                 |          1 |          9 |          0 |          3 |         12 |
| app/features/users/pages                                                                                   |          3 |         10 |          0 |          5 |         15 |
| app/features/users/pages/main-page                                                                         |          3 |         10 |          0 |          5 |         15 |
| app/layout                                                                                                 |         15 |        301 |         10 |         49 |        360 |
| app/layout (Files)                                                                                         |          3 |         91 |          0 |         11 |        102 |
| app/layout/components                                                                                      |         12 |        210 |         10 |         38 |        258 |
| app/layout/components/firms                                                                                |          3 |         45 |          0 |         13 |         58 |
| app/layout/components/footer                                                                               |          3 |         19 |          0 |          6 |         25 |
| app/layout/components/navigation                                                                           |          3 |        113 |         10 |         11 |        134 |
| app/layout/components/organization                                                                         |          3 |         33 |          0 |          8 |         41 |
| app/shared                                                                                                 |         28 |        737 |          2 |        139 |        878 |
| app/shared/directives                                                                                      |          2 |         59 |          0 |         12 |         71 |
| app/shared/pipes                                                                                           |          2 |         41 |          0 |          6 |         47 |
| app/shared/ui                                                                                              |         24 |        637 |          2 |        121 |        760 |
| app/shared/ui/block                                                                                        |          3 |         22 |          1 |          9 |         32 |
| app/shared/ui/image-gallery                                                                                |          3 |         28 |          0 |          9 |         37 |
| app/shared/ui/modal                                                                                        |          3 |         48 |          0 |          9 |         57 |
| app/shared/ui/notifications                                                                                |          3 |         89 |          0 |         18 |        107 |
| app/shared/ui/search-bar                                                                                   |          3 |         82 |          0 |         15 |         97 |
| app/shared/ui/select                                                                                       |          3 |        223 |          1 |         36 |        260 |
| app/shared/ui/tag                                                                                          |          3 |         58 |          0 |         17 |         75 |
| app/shared/ui/tree                                                                                         |          3 |         87 |          0 |          8 |         95 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                   | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/app.config.ts                                     | TypeScript |         23 |          0 |          3 |         26 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/app.css                                           | PostCSS    |          4 |          0 |          1 |          5 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/app.html                                          | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/app.routes.ts                                     | TypeScript |         43 |          0 |          2 |         45 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/app.ts                                            | TypeScript |         10 |          0 |          2 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/environment/config.constants.ts              | TypeScript |          2 |          0 |          1 |          3 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/guards/auth.guard.ts                         | TypeScript |         30 |          0 |          6 |         36 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/guards/notauth.guard.ts                      | TypeScript |         30 |          0 |          6 |         36 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/http/interceptors.ts                         | TypeScript |         52 |          2 |          8 |         62 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/services/auth.service.ts                     | TypeScript |         33 |          0 |          8 |         41 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/services/main.service.ts                     | TypeScript |         44 |          0 |          7 |         51 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/services/navigation.service.ts               | TypeScript |         20 |          0 |          4 |         24 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/services/notification.service.ts             | TypeScript |         14 |          0 |          3 |         17 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/services/route-context.service.ts            | TypeScript |         28 |          0 |          6 |         34 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/types/Icons.enum.ts                          | TypeScript |        192 |          1 |          1 |        194 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/types/Image.type.ts                          | TypeScript |          4 |          0 |          1 |          5 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/types/Node.type.ts                           | TypeScript |         10 |          0 |          2 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/types/Notification.type.ts                   | TypeScript |          6 |          0 |          1 |          7 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/types/Page.type.ts                           | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/utils/buildTree.ts                           | TypeScript |         35 |          2 |          8 |         45 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/utils/cleanObject.ts                         | TypeScript |         11 |          0 |          1 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/core/utils/groupBy.ts                             | TypeScript |         10 |          0 |          1 |         11 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/clients/pages/main-page/main-page.css    | PostCSS    |          0 |          0 |          1 |          1 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/clients/pages/main-page/main-page.html   | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/clients/pages/main-page/main-page.ts     | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/clients/routes.ts                        | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/dashboard/pages/main-page/main-page.css  | PostCSS    |          0 |          0 |          1 |          1 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/dashboard/pages/main-page/main-page.html | HTML       |          1 |          0 |          1 |          2 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/dashboard/pages/main-page/main-page.ts   | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/dashboard/routes.ts                      | TypeScript |         13 |          0 |          3 |         16 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/components/game/game.css           | PostCSS    |         46 |          0 |         12 |         58 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/components/game/game.html          | HTML       |         23 |          0 |          1 |         24 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/components/game/game.ts            | TypeScript |         17 |          0 |          4 |         21 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/model/Game.type.ts                 | TypeScript |         16 |          0 |          1 |         17 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/pages/main-page/main-page.css      | PostCSS    |         43 |          0 |          7 |         50 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/pages/main-page/main-page.html     | HTML       |         51 |          0 |          3 |         54 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/pages/main-page/main-page.ts       | TypeScript |         21 |          0 |          2 |         23 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/routes.ts                          | TypeScript |          9 |          0 |          3 |         12 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/games/services/games.service.ts          | TypeScript |         25 |          0 |          5 |         30 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/org-selection/org-selection.css          | PostCSS    |         34 |          0 |          7 |         41 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/org-selection/org-selection.html         | HTML       |         10 |          0 |          1 |         11 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/org-selection/org-selection.ts           | TypeScript |         19 |          0 |          5 |         24 |
| /Users/maksym/Documents/Projects/Roomly/frontend/src/app/features/sessions/pages/main-page/main-page.css   | PostCSS    |          0 |          0 |          1 |          1 |
